user_id,group,click,completed,time_spent,page_views,steps_reached,bounce
1,A,0,0,27.72,2,2,0
2,B,0,1,117.27,7,5,0
3,A,1,1,109.39,5,5,0
4,A,0,0,23.79,5,3,0
5,A,1,1,111.86,4,5,0
6,B,1,0,31.7,1,3,0
7,A,0,0,26.66,5,4,0
8,A,1,1,104.26,3,6,0
9,A,0,1,108.7,5,5,0
10,B,0,1,115.72,7,5,0
11,A,1,0,21.76,3,3,0
12,A,0,1,124.69,6,6,0
13,A,1,1,111.83,4,6,0
14,A,1,1,107.75,2,6,0
15,B,0,0,40.0,2,2,0
16,A,0,1,91.67,7,5,0
17,B,1,1,116.91,3,5,0
18,B,1,1,145.13,4,5,0
19,B,0,1,128.46,2,5,0
20,A,0,0,22.3,4,4,0
21,B,0,0,23.8,1,3,0
22,A,1,1,113.37,9,5,0
23,B,1,0,34.27,1,2,0
24,B,1,0,24.43,4,3,0
25,B,0,0,30.16,1,2,0
26,B,1,0,28.99,4,3,0
27,B,1,0,32.54,3,2,0
28,B,0,0,24.28,3,1,0
29,B,1,0,38.51,3,1,0
30,B,0,0,36.49,2,3,0
31,A,1,1,103.64,5,6,0
32,A,0,0,22.49,3,2,0
33,B,1,1,126.64,1,4,0
34,B,1,1,120.22,4,5,0
35,B,0,1,123.57,4,5,0
36,A,0,1,104.76,1,6,0
37,B,0,1,144.13,5,5,0
38,A,1,1,119.36,5,6,0
39,A,0,0,30.54,3,2,0
40,A,0,0,26.59,3,3,0
41,A,1,1,94.59,6,6,0
42,A,0,0,23.71,4,3,0
43,B,0,0,36.82,1,2,0
44,B,0,1,115.42,10,4,0
45,B,1,1,134.37,8,5,0
46,B,1,1,150.0,5,4,0
47,B,1,0,37.37,2,2,0
48,A,1,1,124.97,5,6,0
49,B,1,0,32.31,1,3,0
50,B,1,0,36.81,2,3,0
51,A,1,0,18.98,5,2,0
52,B,1,1,135.96,2,4,0
53,A,0,1,115.85,3,5,0
54,B,0,0,32.74,4,3,0
55,A,1,1,123.79,4,6,0
56,B,0,0,27.77,3,1,0
57,B,0,0,29.88,3,1,0
58,A,1,1,109.15,4,6,0
59,A,1,1,95.64,4,6,0
60,A,1,0,25.59,1,2,0
61,A,0,1,90.0,5,6,0
62,A,0,1,120.56,4,6,0
63,A,1,1,108.56,10,5,0
64,A,1,1,101.75,8,6,0
65,A,1,1,97.99,2,6,0
66,B,1,0,29.59,1,1,0
67,B,1,0,35.13,2,3,0
68,A,1,1,114.57,4,6,0
69,B,0,1,120.94,5,4,0
70,B,0,0,25.92,3,2,0
71,B,1,1,134.57,5,4,0
72,B,0,0,26.67,3,2,0
73,A,1,1,108.72,9,5,0
74,B,1,0,31.74,3,1,0
75,A,1,1,111.74,1,5,0
76,B,0,0,36.15,3,3,0
77,B,0,0,23.42,4,3,0
78,B,0,0,19.53,2,1,0
79,A,1,0,20.03,8,4,0
80,B,0,0,40.0,2,3,0
81,A,1,1,132.27,9,5,0
82,B,0,0,40.0,3,2,0
83,A,1,1,105.68,7,6,0
84,B,1,1,110.18,7,4,0
85,A,1,1,90.0,6,5,0
86,A,1,1,100.63,2,6,0
87,B,1,1,126.02,5,5,0
88,A,0,1,123.61,13,5,0
89,B,1,1,136.68,5,4,0
90,B,0,0,32.36,2,3,0
91,B,0,0,25.66,1,2,0
92,B,0,1,118.39,4,5,0
93,B,0,0,32.52,1,3,0
94,B,0,1,134.97,4,5,0
95,B,1,1,131.92,6,4,0
96,B,0,1,117.65,7,4,0
97,B,1,1,134.51,4,5,0
98,B,1,1,132.26,7,5,0
99,B,1,0,24.58,2,1,0
100,A,1,1,98.59,7,5,0
101,A,1,1,116.26,5,5,0
102,B,1,1,125.65,11,4,0
103,B,0,0,40.0,1,2,0
104,B,1,0,34.01,1,1,0
105,B,1,1,123.13,1,5,0
106,B,1,0,30.94,1,3,0
107,B,1,1,128.63,7,5,0
108,B,1,0,26.63,2,2,0
109,B,0,0,25.52,1,3,0
110,A,1,1,116.42,2,5,0
111,B,0,0,36.07,2,3,0
112,A,1,1,115.25,4,6,0
113,B,1,0,40.0,1,3,0
114,B,0,0,27.75,1,3,0
115,A,1,1,128.09,1,5,0
116,B,1,1,118.99,3,4,0
117,A,1,1,95.85,8,5,0
118,B,1,0,20.44,4,2,0
119,B,0,1,123.54,3,5,0
120,A,1,1,101.96,3,6,0
121,B,0,1,133.26,6,5,0
122,A,0,0,25.71,4,3,0
123,B,1,1,116.07,5,5,0
124,A,0,1,103.29,5,5,0
125,A,1,1,103.54,8,6,0
126,B,0,0,20.34,1,1,0
127,B,1,0,25.11,1,3,0
128,A,0,0,18.6,3,2,0
129,B,1,0,39.6,2,2,0
130,B,1,0,32.15,3,2,0
131,B,0,0,34.97,2,1,0
132,A,0,1,90.02,5,5,0
133,A,1,1,122.33,6,5,0
134,A,1,0,33.11,3,4,0
135,A,0,1,90.0,5,6,0
136,A,1,1,99.54,5,5,0
137,A,0,0,27.47,1,3,0
138,A,0,1,115.73,6,6,0
139,A,0,0,19.25,1,3,0
140,A,0,0,21.86,1,4,0
141,B,1,1,122.03,4,4,0
142,A,1,1,109.33,3,6,0
143,B,0,0,38.18,2,1,0
144,B,0,0,26.37,1,3,0
145,B,1,1,138.01,4,4,0
146,A,1,1,98.62,7,6,0
147,A,0,0,18.07,5,4,0
148,A,1,1,117.82,4,6,0
149,A,1,1,119.06,2,5,0
150,B,1,0,36.11,3,2,0
151,A,1,1,92.21,3,6,0
152,A,1,1,102.41,7,6,0
153,A,1,1,117.88,7,5,0
154,A,1,0,24.29,5,3,0
155,A,0,1,95.12,6,5,0
156,B,1,0,33.75,1,3,0
157,A,0,1,99.42,4,6,0
158,B,0,0,40.0,2,3,0
159,A,1,1,126.54,2,6,0
160,B,0,0,34.62,2,1,0
161,A,1,1,124.33,3,6,0
162,A,0,1,108.78,7,6,0
163,B,1,0,35.59,3,1,0
164,B,0,0,39.87,1,1,0
165,B,0,0,32.47,1,1,0
